as_of_date,as_of_time,district,bodies_recovered,reporting_authority,source_id
2026-09-04,12:30,Chitwan,359,NDRRMA,S1
2026-09-04,12:30,Nawalparasi East,219,NDRRMA,S1
2026-09-04,12:30,Nawalparasi West,212,NDRRMA,S1
2026-09-04,12:30,Nuwakot,184,NDRRMA,S1
2026-09-04,12:30,Rasuwa,140,NDRRMA,S1
2026-09-04,12:30,Gorkha,72,NDRRMA,S1
2026-09-04,12:30,Dhading,63,NDRRMA,S1
2026-09-04,12:30,Tanahun,38,NDRRMA,S1
2026-09-05,,Chitwan,360,Nepal Police,S2
2026-09-05,,Nawalparasi East,222,Nepal Police,S2
2026-09-05,,Nawalparasi West,230,Nepal Police,S2
2026-09-05,,Nuwakot,192,Nepal Police,S2
2026-09-05,,Rasuwa,160,Nepal Police,S2
2026-09-05,,Gorkha,73,Nepal Police,S2
2026-09-05,,Dhading,67,Nepal Police,S2
2026-09-05,,Tanahun,38,Nepal Police,S2
